SampleID,Genus,Species,Authority,Geography,Country,Locality,Year,Coll,VoucherNo,HerbID
PEZ-228,Peperomia,subpetiolata,Yunck.,Hawaii,,Maui,2016,Oppenheimer,H41613,US
PEZ-231,Peperomia,blanda var. floribunda,(Miq.) H.Hüber,Australs,,Rurutu,,,,
PEZ-232,Peperomia,blanda var. floribunda,(Miq.) H.Hüber,Australs,,Rurutu,,,,
PEZ-233,Peperomia,blanda var. floribunda,(Miq.) H.Hüber,Australs,,Rurutu,,Alive!,,
PEZ-234,Peperomia,polystachya,(Aiton) Hook.,C Amer,Jamaica,Jamaica,,,,
PEZ-235,Peperomia,blanda,(Jacq.) Kunth,,,,2018,Frenzke,14,DR
PEZ-236,Peperomia,blanda,(Jacq.) Kunth,Pitcairns,,,,,,
PEZ-237,Peperomia,blanda,(Jacq.) Kunth,,,,,,,
PEZ-238,Peperomia,blanda,(Jacq.) Kunth,Middle East,Yemen,Socotra,,,,
PEZ-239,Peperomia,skottsbergii,C. DC. ex Skottsb.,Juan Fernandez,,Juan Fernandez,,,,Jardín Botánico Nacional (JBN)
PEZ-241,Peperomia,polystachya,(Aiton) Hook.,C Amer,Jamaica,,,Samain,2013-094,GENT
PEZ-242,Peperomia,margaritifera,Bertero ex Hook.,Juan Fernandez,,Juan Fernandez,,,,Jardín Botánico Nacional (JBN)
PEZ-243,Peperomia,berteroana,Miq.,Juan Fernandez,,Juan Fernandez,,,,Jardín Botánico Nacional (JBN)
PEZ-244,Peperomia,pitcairnensis,C. DC.,Pitcairns,,,,,,Pe859
PEZ-245,Peperomia,societatis,J.W.Moore,Societies,,Tahiti,,,,Pe921 - HBUG 2002 2227
PEZ-246,Peperomia,sp.,,New Caledonia,,New Caledonia,2002,Lowry II,5617,MOBOT
PEZ-247,Piper,sp.,,New Caledonia,,New Caledonia,2003,McPherson,19040,MOBOT
PEZ-248,Peperomia,blanda ,(Jacq.) Kunth,Africa,,Madagascar,2009,Bernard,1497,MOBOT
PEZ-249,Peperomia,blanda ,(Jacq.) Kunth,Africa,,Madagascar,2015,Rakotonirina,1133,MOBOT
PEZ-250,Peperomia,caledonica,C. DC.,New Caledonia,,New Caledonia,2001,McPherson,18208,MOBOT
PEZ-251,Peperomia,coroicoensis,Yunck.,S Amer,,Bolivia,2005,Araujo,2129,MOBOT
PEZ-253,Peperomia,fernandopoiana,C. DC.,Africa,,Madagascar,2012,Razoazanany,97,MOBOT
PEZ-254,Peperomia,glabella,(Sw.) A. Dietr.,C Amer,,Nicaragua,2014,Stevens,34572,MOBOT
PEZ-265,Peperomia,blanda,(Jacq.) Kunth,Asia,,"China, Guangxi",,Li J.-M.,6262,PE
PEZ-267,Peperomia,tetraphylla,(G.Forst.) Hook. & Arn.,Africa,,South Africa,,J.S.Burrows,8924,MOBOT
PEZ-269,Peperomia,sp.,,New Caledonia,,New Caledonia,2011,J.Munzinger,6537,MOBOT
PEZ-272,Peperomia,lasiostigma,,Fiji,,Taveuni,2017,Pene,3,USP
PEZ-273,Peperomia,lasiostigma,,Fiji,,Taveuni,2017,Pene,20,USP
PEZ-275,Peperomia,lasiostigma,,Fiji,,Taveuni,2017,Pene,47,USP
PEZ-276,Peperomia,attenuata,,Fiji,,Taveuni,2017,Pene,55,USP
PEZ-278,Peperomia,attenuata,,Fiji,,Taveuni,2017,Pene,61,USP
PEZ-280,Peperomia,lasiostigma,,Fiji,,Taveuni,2017,Pene,81,USP
PEZ-281,Peperomia,lasiostigma,,Fiji,,Taveuni,2017,Pene,82,USP
PEZ-282,Peperomia,attenuata,,Fiji,,Taveuni,2017,Pene,85,USP
PEZ-283,Peperomia,falcata,,Fiji,,Taveuni,2017,Pene,87,USP
PEZ-284,Peperomia,tetraphylla,(G.Forst.) Hook. & Arn.,Societies,,Tahiti,2017,JYM,3310,PAP
PEZ-285,Peperomia,grantii,Yunck.,Societies,,Tahiti,2017,JYM,3311,PAP
PEZ-287,Peperomia,cf. oliveri,J. Florence & W. L. Wagner,Marquesas,,Nuku Hiva,2017,JYM,3313,PAP
PEZ-288,Peperomia,cf. tooviiana,J. Florence,Marquesas,,Nuku Hiva,2017,JYM,3314,PAP
PEZ-289,Peperomia,cf. oliveri,J. Florence & W. L. Wagner,Marquesas,,Nuku Hiva,2017,JYM,3315,PAP
PEZ-290,Peperomia,cf. blanda var floribunda,(Miq.) H. Hüber,Marquesas,,Nuku Hiva,2017,JYM,3316,PAP
PEZ-291,Peperomia,cf. pallida,A.Dietr.,Societies,,Tahiti,2017,JYM,3317,PAP
PEZ-292,Peperomia,blanda var. floribunda,(Miq.) H.Hüber,Australia,,Australia,,"Jensen, R.",1985,"BRI, CNS"
PEZ-293,Peperomia,hunteriana,P.I.Forst.,Australia,,Australia,,"Costion, C",2263,CNS
PEZ-294,Peperomia,tetraphylla,(G.Forst.) Hook. & Arn.,Australia,,Australia,,"Jensen, R.",2020,CNS
PEZ-295,Peperomia,enervis,F. Muell.,Australia,,Australia,,EMJ,5, 
PEZ-296,Peperomia,enervis,F. Muell.,Australia,,Australia,,EMJ,6,
PEZ-297,Peperomia,bellendenkerensis,Domin,Australia,,Australia,,EMJ,3,
PEZ-298,Peperomia,adamsonia,(F.Br.) Yunck.,Marquesas,,Hiva Oa,2017,Wood,17686,PTBG
PEZ-302,Peperomia,boninsimensis,Makino,Japan,,Japan,,,,
PEZ-304,Peperomia,rubella,Hook.,C Amer,,,2017,Oppenheimer,H101701,US
